Traceback (most recent call last):
  File "/home/raspberry/projects/tactileforce/raspberry/startup/display.py", line 1, in <module>
    from PIL import Image, ImageDraw, ImageFont
ModuleNotFoundError: No module named 'PIL'
2025/03/28 16:02:16 starting server on 145.94.154.176:8080
2025/03/28 16:04:17 starting server on 145.94.154.176:8080
[GIN] 2025/03/28 - 16:07:26 | 200 |    5.948701ms |  145.94.125.137 | GET      "/"
[GIN] 2025/03/28 - 16:07:26 | 200 |   35.856138ms |  145.94.125.137 | GET      "/static/css/output.css"
[GIN] 2025/03/28 - 16:07:26 | 200 |    2.975157ms |  145.94.125.137 | GET      "/files/get"
[GIN] 2025/03/28 - 16:07:26 | 200 |    1.182792ms |  145.94.125.137 | GET      "/themes/get"
[GIN] 2025/03/28 - 16:07:26 | 200 |    3.428914ms |  145.94.125.137 | GET      "/commands/get"
[GIN] 2025/03/28 - 16:07:26 | 200 |  398.490329ms |  145.94.125.137 | GET      "/update/check"
2025/03/31 10:39:47 starting server on 145.94.154.176:8080
[GIN] 2025/03/31 - 10:47:48 | 200 |    6.435499ms |  145.94.124.156 | GET      "/"
[GIN] 2025/03/31 - 10:47:48 | 200 |   39.718748ms |  145.94.124.156 | GET      "/static/css/output.css"
[GIN] 2025/03/31 - 10:47:48 | 200 |    2.949745ms |  145.94.124.156 | GET      "/files/get"
[GIN] 2025/03/31 - 10:47:48 | 200 |    1.761302ms |  145.94.124.156 | GET      "/commands/get"
[GIN] 2025/03/31 - 10:47:48 | 200 |    1.097552ms |  145.94.124.156 | GET      "/themes/get"
[GIN] 2025/03/31 - 10:47:48 | 404 |           2µs |  145.94.124.156 | GET      "/favicon.ico"
[GIN] 2025/03/31 - 10:47:49 | 200 |  319.006932ms |  145.94.124.156 | GET      "/update/check"
[GIN] 2025/03/31 - 10:47:53 | 200 |     2.90291ms |  145.94.124.156 | POST     "/editor/update?filename=config"
[GIN] 2025/03/31 - 11:06:59 | 200 |     575.495µs |  145.94.124.156 | GET      "/"
[GIN] 2025/03/31 - 11:06:59 | 200 |    6.587474ms |  145.94.124.156 | GET      "/static/css/output.css"
[GIN] 2025/03/31 - 11:06:59 | 200 |     308.331µs |  145.94.124.156 | GET      "/files/get"
